1984;Orwell;George;1903;anglais;1949;['totalitarisme', 'science-fiction', 'anticipation', 'dystopie']
Dune;Herbert;Frank;1920;anglais;1965;['science-fiction', 'anticipation']
Fondation;Asimov;Isaac;1920;anglais;1951;['science-fiction', 'économie']
Le meilleur des mondes;Huxley;Aldous;1894;anglais;1931;['totalitarisme', 'science-fiction', 'dystopie']
Farenheit 451;Bradbury;Ray;1920;anglais;1953;['science-fiction', 'dystopie']
Ubik;K Dick;Philip;1928;anglais;1969;['science-fiction', 'anticipation']
Chroniques martiennes;Bradbury;Ray;1920;anglais;1950;['science-fiction', 'anticipation']
La nuit des temps;Barjavel;René;1911;français;1968;['science-fiction', 'tragédie']
Blade runner;K Dick;Philip;1928;anglais;1968;['intelligence artificielle', 'science-fiction']
Les robots;Asimov;Isaac;1920;anglais;1950;['science-fiction', 'intelligence artificielle']
La planète des singes;Boulle;Pierre;1912;français;1963;['science-fiction', 'dystopie']
Ravage;Barjavel;René;1911;français;1943;['dystopie', 'uchronie']
Le monde des A;Van Vogt;Alfred Elton;1912;anglais;1945;['science-fiction', 'intelligence artificielle']
La fin de l'éternité;Asimov;Isaac;1920;anglais;1955;['science-fiction', 'voyage dans le temps']
De la terre à la lune;Verne;Jules;1828;français;1865;['science-fiction', 'aventure']
La machine à explorer le temps;Wells;Herbert George;1866;anglais;1895;['science-fiction', 'voyage dans le temps']
